	Gujrati	English
666	રંગ અવધૂત	Rang Avadhoot
667	હનુમાન ચાલીસા	Hanuman Chalisa
668	રામનવમી	Rama Navami
669	વીર નર્મદ દક્ષિણ ગુજરાત યુનિવર્સિટી, સુરત	Veer Narmad South Gujarat University
670	ખીજડીયા પક્ષી અભયારણ્ય	Khijadiya Bird Sanctuary
671	નાસિક	Nashik
672	વેદ	Vedas
673	બ્રાહ્મણ ગ્રંથો	Brahmana
674	આરણ્યક ગ્રંથો	Aranyaka
675	ઉપનિષદ	Upanishads
676	અનુક્રમણી	Anukramaṇī
677	વેદાંગ	Vedanga
678	ઇતિહાસ	History
679	સ્મૃતિ	Smriti
680	હિંદુ દર્શન	Hindu philosophy
681	ભાષ્ય	Bhashya
682	સાંપ્રદાયિક ગ્રંથો	Hindu texts
683	સંસ્કાર	Sanskara 
684	હિન્દુધર્મના ઉત્સવો	List of Hindu festivals
685	ઈન્દ્રા નૂયી	Indra Nooyi
686	સિહોર	Sihor
687	તળાજા	Talaja
688	તિરુવનંતપુરમ્	Thiruvananthapuram
689	શિમલા	Shimla
690	રાયપુર 	Raipur
691	રાંચી	Ranchi
693	દમણ	Daman, Daman and Diu
694	બગસરા	Bagasara
695	નેલ્સન મંડેલા	Nelson Mandela
696	દેહરાદૂન	Dehradun
697	માંસાહારી	Carnivore
698	વલ્લભાચાર્ય	Vallabha
699	અંજીર	Common fig
700	લીમડો	Azadirachta indica
701	ઉંદર	Rattus
702	ડૉ. બાબાસાહેબ આંબેડકર	B. R. Ambedkar
703	ચેટીચંડ	Cheti Chand
704	ઝૂલેલાલ	Jhulelal 
705	વિશ્વકર્મા	Vishvakarman
706	એકનાથ	Eknath
707	રંગપંચમી	Rang Panchami
708	ગુડફ્રાઈડે	Good Friday
709	પતેતી	Zoroastrian festivals
710	નવરોઝ	Nowruz
711	પારસી	Parsi
712	જરથુષ્ટ્ર	Zoroaster
713	દાદાભાઈ નવરોજી	Dadabhai Naoroji
714	મેડમ કામા	Bhikaiji Cama
715	લવજી વાડિયા	Lovji Nusserwanjee Wadia
716	રામદેવપીર	Ramdev Pir
717	રુદ્રાક્ષ	Rudraksha
718	શિવરાત્રિ	Maha Shivaratri
719	ગૌમુખ	Gomukh
720	શ્રીનાથજી	Shrinathji
721	વસુદેવ	Vasudeva
722	યશોદા	Yashoda
723	મોઢેશ્વરી	Modheshwari
724	સ્વસ્તિક	Swastika
725	કળશ	Kalasha
726	રામકૃષ્ણ પરમહંસ	Ramakrishna
727	ખોડિયાર	Khodiyar
728	તિલક	Tilaka
729	બ્રહ્મોસમાજ	Brahmo Samaj
730	રાજા રામમોહનરાય	Ram Mohan Roy
731	મોહરમ	Ashura
732	ચંપારણ્ય	Champaran, Chhattisgarh
733	પર્વત	Mountain
734	કંચનજંઘા	Kangchenjunga
735	ગુરુ ગોવિંદસિંહ	Guru Gobind Singh
736	શાસ્ત્રીજી મહારાજ	Shastriji Maharaj
737	કર્ણ	Karna
738	જ્ઞાનેશ્વર	Dnyaneshwar
739	તિરુપતિ બાલાજી	Venkateswara Temple, Tirumala
740	કાલ ભૈરવ	Bhairava
741	નામદેવ	Namdev
742	ગુરુનાનક	Guru Nanak
743	દુલા કાગ	Dula Bhaya Kag
744	દામોદર બોટાદકર	Damodar Botadkar
745	ચંદ્રવદન મહેતા	Chandravadan Mehta
746	સ્નેહરશ્મિ	Jhinabhai Desai
747	કૃષ્ણલાલ શ્રીધરાણી	Krishnalal Shridharani
748	રાજેન્દ્ર શાહ	Rajendra Shah
749	વેણીભાઈ પુરોહિત	Venibhai Purohit
750	ઉશનસ્	Ushnas
751	મકરંદ દવે	Makarand Dave
752	બરકત વિરાણી	Barkat Virani
753	પ્રિયકાંત મણિયાર	Priyakant Maniar
754	ન્હાનાલાલ	Nanalal Dalpatram Kavi
755	ચિનુ મોદી	Chinu Modi
756	દિનકર જોષી	Dinkar Joshi
757	મરીઝ	Mareez
758	પન્નાલાલ પટેલ	Pannalal Patel
759	કુન્દનિકા કાપડીઆ	Kundanika Kapadia
760	ભોપાલ	Bhopal
761	હૈદરાબાદ	Hyderabad
762	બાંગ્લાદેશ	Bangladesh
763	દિસપુર	Dispur
764	ચામાચિડિયું	Bat
765	બાંધણી	Bandhani
766	અંકલેશ્વર	Ankleshwar
767	નાસિક જિલ્લો	Nashik district
768	સિન્નર તાલુકો	Sinnar taluka
769	ત્ર્યંબકેશ્વર તાલુકો	Trimbakeshwar tehsil
770	લીંબડી	Limbdi
771	ચોટીલા	Chotila
772	વઢવાણ	Wadhwan
773	અહમદશાહ	Ahmad Shah I
774	વૈશાલી જિલ્લો	Vaishali district
775	શેખપુરા જિલ્લો	Sheikhpura district
776	શિવહર જિલ્લો	Sheohar district
777	સુપૌલ જિલ્લો	Supaul district
